No.,業種,詳細業種,業態,営業所名称,営業所郵便番号,営業所所在地,営業所電話番号,許可番号（号）,施行日,有効期限
141,飲食店営業,その他,ＢＡＲ,ＢＡＲ　堀川,910-0006,福井市中央１丁目６－４東ビル２Ｆ,0776-21-3824,福井市指令生衛第22-3-3号,4/6/22,11/30/27
142,飲食店営業,その他,Ｂａｒ,Ｂａｒ「妖かし」,910-0023,福井市順化１丁目１４－２２桑の実会館ビル　Ｂ１　奥,0776-22-8848,福井市指令生衛第24-4-359号,1/23/25,3/31/30
143,飲食店,社交飲食,,ＢＡＲＯＮ,910-0023,福井市順化２丁目２０－１１１階,,福井市指令生衛第20-1-481号,3/29/21,4/30/26
144,飲食店,社交飲食,,ＢＡＲＯＮ　Ｓ,910-0023,福井市順化２丁目２０－１１２階,,福井市指令生衛第20-1-480号,3/29/21,4/30/26
145,飲食店,食堂,,ｂｅａｃｈ　ｃａｆｅ　ｈａｕｏｌｉ,910-3377,福井市浜住町１―３,,福井市指令生衛第20-2-228号,7/15/20,7/31/25
146,アイスクリーム類製造業,一般,,ｂｅａｃｈ　ｃａｆｅ　ｈａｕｏｌｉ,910-3377,福井市浜住町１―３,,福井市指令生衛第20-2-229号,7/15/20,7/31/25
147,飲食店営業,その他,バー,ｂｅｅｒ　ｂａｒ　ｅｎ,910-0023,福井市順化１丁目１０－９ドリームタウンビル２Ｆ２０４,,福井市指令生衛第22-3-336号,2/6/23,3/31/28
148,飲食店営業,その他,ビアバー,Ｂｅｅｒ　Ｓｔａｎｄ　Ｐｉｖｏ,910-0023,福井市順化２丁目７－１２,,福井市指令生衛第23-3-54号,6/2/23,4/30/29
149,飲食店営業,その他,スナック,Ｂｅｌｌｅ　ｖｉｅ,910-0023,福井市順化１丁目１６－１８片町ステーションビル４階,0776-28-6001,福井市指令生衛第21-4-656号,2/9/22,3/31/27
150,菓子製造業,菓子製造業,,Ｂｅｒｃｅａｕ,910-0138,福井市東森田３丁目１８１５,0776-76-0497,福井市指令生衛第23-4-76号,6/15/23,9/30/28
151,飲食店営業,一般食堂・レストラン等,カフェ,Ｂｅｒｃｅａｕ,910-0138,福井市東森田３丁目１８１５,0776-76-0497,福井市指令生衛第23-4-77号,6/15/23,9/30/28
152,飲食店,社交飲食,,ＢｅＲｅＴＴａ,910-0023,福井市順化２丁目２０－１３シャンティ片町１Ｆ,0776-28-2811,福井市指令生衛第20-1-84号,5/25/20,4/30/26
153,飲食店営業,その他,バー,Ｂｉａｎ,910-0023,福井市順化１丁目１４－２１アルバビル５Ｆ,,福井市指令生衛第21-3-287号,2/7/22,3/31/27
154,飲食店,社交飲食,,ＢＩＲＴＨ,910-0023,福井市順化１丁目１４―２１ＡＬＢＡビル　１Ｆ,0776-25-2234,福井市指令生衛第20-2-857号,2/18/21,3/31/26
155,飲食店営業,一般食堂・レストラン等,レストラン,Ｂｉｓｔｒｏ　Ｐｌｅｉｎ　ｄｅ　ｒｉｒｅ,910-0804,福井市高木中央３丁目１９０６ピースヴィレッジ１Ｆ　Ａ号室,,福井市指令生衛第23-3-161号,9/14/23,12/31/28
156,飲食店営業,その他,クレープ屋（テイクアウト）,ｂｌｉｓｓ　Ｙｕｋｉｋｏ,910-0125,福井市石盛２丁目２００５,,福井市指令生衛第22-3-264号,12/12/22,9/30/28
157,飲食店営業,その他,テイクアウト店,ＢＬＵｅ　Ｂｅｅ,910-0837,福井市高柳２丁目１２０６トレタス内,,福井市指令生衛第23-3-487号,4/10/24,12/31/30
158,菓子製造業,菓子製造業,,ＢＬＵｅ　Ｂｅｅ,910-0837,福井市高柳２丁目１２０６トレタス内,,福井市指令生衛第23-3-488号,4/10/24,12/31/30
159,飲食店,食堂,,Ｂｌｕｅ Ｌｉｇｈｔ Ｃａｆé,910-0006,福井市中央３丁目３－１２,0776-23-3700,福井市指令生衛第20-1-45号,4/30/20,11/30/25
160,飲食店営業,一般食堂・レストラン等,カフェ,ＢＬＵＥ　ＳＴＯＣＫＩＮＧ,9108582,福井市中央１丁目８－１西武福井店　８Ｆ,,福井市指令生衛第21-3-45号,7/19/21,11/30/26
161,菓子製造業,菓子製造業,カフェ,ＢＬＵＥ　ＳＴＯＣＫＩＮＧ,9108582,福井市中央１丁目８－１西武福井店　８Ｆ,,福井市指令生衛第21-3-46号,7/19/21,11/30/26
162,飲食店営業,その他,ビアバー,Ｂｏｃｈｉ　Ｂｏｃｈｉ,910-0017,福井市文京１丁目４５－２１,,福井市指令生衛第23-3-186号,10/6/23,1/31/29
163,喫茶店,純喫茶,,ＢＯＮ　ＣＯＦＦＥＥ　―beans store―,918-8104,福井市板垣５丁目１２１２,0776-65-2303,福井市指令生衛第20-1-219号,9/9/20,10/31/25
164,菓子製造業,菓子製造業,,Ｂｏｎｂｏｎｓ　ｄｏｕｘ,918-8055,福井市若杉３丁目１４０８,,福井市指令生衛第21-3-166号,11/1/21,5/31/27
165,飲食店営業,一般食堂・レストラン等,学食,ＢＯＮＴＡ　Ｗ　福井医療大学店,910-3113,福井市江上町５５－１３－１福井医療大学内食堂,,福井市指令生衛第23-4-61号,6/8/23,7/31/29
166,飲食店営業,その他,喫茶店,Ｂ－ＰＯＲＴ,910-0015,福井市二の宮４丁目４－８,0776-21-0083,福井市指令生衛第22-4-227号,11/2/22,1/31/28
167,菓子製造業,一般,,ＢＲＥＡＤ　ＧＡＲＤＥＮ　クローバー,918-8104,福井市板垣２丁目４１４,0776-36-9680,福井市指令生衛第20-2-430号,9/17/20,10/31/26
168,飲食店,仕出し弁当,,ＢＲＥＡＤ　ＧＡＲＤＥＮ　クローバー,918-8104,福井市板垣２丁目４１４,0776-36-9680,福井市指令生衛第20-2-429号,9/17/20,10/31/26
169,飲食店営業,その他,パブ,ＢＲＩＴＩＳＨ　ＣＡＦＥ＆ＰＵＢ　ＯＸＯ福井駅前店,910-0006,福井市中央１丁目１０－１,0776-28-0211,福井市指令生衛第24-3-68号,6/3/24,11/30/29
170,飲食店,軽食,,ＢＵＤＡ・ＦＯＲＵＴＥ,910-0026,福井市光陽４丁目３－３１ツインクル谷内,0776-43-6951,福井市指令生衛第20-1-207号,9/9/20,2/28/26
171,飲食店営業,その他,バー,ＢＵＺＺ,910-0023,福井市順化１丁目１７－１１ウエノビル２Ｆ東,,福井市指令生衛第23-3-275号,12/15/23,3/31/29
172,飲食店営業,その他,喫茶店,Ｃ＆Ｃ,910-0017,福井市文京２丁目９－１松原病院　新館,,福井市指令生衛第23-4-354号,12/12/23,2/28/29
173,そうざい製造業,そうざい製造業,,Ｃ＆Ｃサービス,910-0017,福井市文京２丁目９－１松原病院　西棟,0776-22-3717,福井市指令生衛第22-3-395号,3/20/23,2/28/29
174,飲食店営業,その他,喫茶店,Ｃ＆Ｃサービス,910-0017,福井市文京２丁目９－１松原病院　西棟,0776-22-3717,福井市指令生衛第23-4-355号,12/12/23,2/28/29
175,飲食店,社交飲食,,Ｃ☆ｃｏｌｌｅｃｔｉｏｎ,910-0023,福井市順化１丁目７―５片町α１ビル４Ｆ,0776-27-5137,福井市指令生衛第20-2-906号,2/18/21,3/31/26
176,そうざい製造業,一般,,Ｃａｄｒｅ,910-0804,福井市高木中央１丁目２６０１,0776-50-6177,福井市指令生衛第20-1-22号,4/20/20,12/31/26
177,菓子製造業,一般,,Ｃａｄｒｅ,910-0804,福井市高木中央１丁目２６０１,0776-50-6177,福井市指令生衛第20-1-27号,4/20/20,12/31/26
178,飲食店営業,その他,喫茶店,Ｃａｆｅ　ＣｏＣｏｔｔｅ,910-0006,福井市中央１丁目１４－４,0776-25-3302,福井市指令生衛第22-4-215号,10/27/22,11/30/27
179,飲食店営業,その他,カフェ,ｃａｆｅ　ｄｅ　ｍｕｓｅｅ　ＰＡＰＯＴＥＲ　美術館カフェ　パポテ,910-0017,福井市文京３丁目１６－１福井県立美術館,,福井市指令生衛第24-3-17号,4/15/24,2/28/30
180,飲食店営業,その他,喫茶店,ｃａｆｅ　ｎｏｔｅｓ,918-8015,福井市花堂南１丁目９－１６,0776-33-1880,福井市指令生衛第23-4-167号,8/8/23,10/31/28
181,飲食店営業,その他,カフェ,ｃａｆｅ　ｐａｎｓｅ,910-0837,福井市高柳２丁目１６０８,0776-52-2773,福井市指令生衛第21-4-461号,11/16/21,12/31/26
182,菓子製造業,菓子製造業,,ｃａｆｅ　おぶう,918-8055,福井市若杉４丁目２０６,0776-35-6950,福井市指令生衛第22-4-465号,3/15/23,5/31/28
183,そうざい製造業,そうざい製造業,,ｃａｆｅ　おぶう,918-8055,福井市若杉４丁目２０６,0776-35-6950,福井市指令生衛第22-3-365号,3/15/23,5/31/28
184,飲食店営業,その他,喫茶,ｃａｆｅ　おぶう,918-8055,福井市若杉４丁目２０６,0776-35-6950,福井市指令生衛第23-4-470号,4/10/24,5/31/29
185,飲食店営業,その他,カフェ,ｃａｆｅ　はな,910-0006,福井市中央１丁目１６－８マルヒラビル１Ｆ,,福井市指令生衛第24-4-181号,9/12/24,11/30/29
186,飲食店,軽食,,ｃａｆｅ　りんく,918-8108,福井市春日２丁目２－４,0776-92-0190,福井市指令生衛第21-1-40号,5/7/21,10/31/26
187,菓子製造業,一般,,ｃａｆｅ　りんく,918-8108,福井市春日２丁目２－４,0776-92-0190,福井市指令生衛第21-1-52号,5/17/21,10/31/26
188,飲食店営業,その他,喫茶,Ｃａｆｅ　リンデン,910-0005,福井市大手２丁目８－８,0776-21-7355,福井市指令生衛第23-3-448号,3/5/24,11/30/29
189,飲食店営業,その他,カフェ,ＣＡＦＥ　手の花,910-2464,福井市中手町１７－２１,0776-93-2421,福井市指令生衛第23-4-435号,3/18/24,8/31/29
190,飲食店営業,その他,喫茶店,Ｃａｆｅ＆Ｂａｒ　ＦＲＡＣＴＡＬ,910-3383,福井市糸崎町２－４－１１,,福井市指令生衛第23-3-290号,12/19/23,7/31/29
191,飲食店営業,その他,バー,ｃａｆｅ＆ｂａｒ　ＮＡＢＯ,910-0023,福井市順化１丁目１７－２３サンロイヤルビル２Ｆ　２０１,,福井市指令生衛第23-4-404号,1/25/24,3/31/29
192,飲食店営業,その他,カラオケ喫茶店,ｃａｆｅ＆Ｌａｕｎｇｅ　ＭＡＩ,918-8011,福井市月見３丁目２－２８,0776-63-5736,福井市指令生衛第21-4-270号,8/24/21,10/31/26
193,飲食店営業,その他,カフェラウンジ,ＣＡＦＥ＆ＬＯＵＮＧＥ　ＯＡＳＩＳ　福井店,910-0006,福井市中央１丁目１８－１ドーミーインＰＲＥＭＩＵＭ福井１階,0776-21-5489,福井市指令生衛第23-3-62号,5/31/23,11/30/28
194,飲食店営業,その他,喫茶店,Ｃａｆｅ’　萌え木,910-0804,福井市高木中央２丁目２９０１－１,0776-53-2545,福井市指令生衛第23-4-255号,10/6/23,12/31/28
195,飲食店,軽食,,ｃａｆｅ’３８,910-0837,福井市高柳２丁目810,0776-50-1610,福井市指令生衛第20-2-584号,12/17/20,12/31/25
196,菓子製造業,菓子製造業,,ＣＡＫＥ　ＡＴＥＬＩＥＲ　ＣＨＩＨＩＲＯ,910-0015,福井市二の宮３丁目１３－２３,0776-21-1016,福井市指令生衛第22-4-223号,10/20/22,1/31/28
197,飲食店営業,その他,スナック,ＣＡＭＥＬＬＩＡ,910-0023,福井市順化１丁目７－９バレービル２Ｂ,0776-28-6125,福井市指令生衛第22-4-378号,1/17/23,3/31/28
198,飲食店営業,一般食堂・レストラン等,カフェレストラン,ＣＡＲＡＭＯＮ,910-2151,福井市安波賀中島町８－１０,,福井市指令生衛第22-3-184号,9/28/22,8/31/29
199,菓子製造業,菓子製造業,,ＣＡＲＡＭＯＮ,910-2151,福井市安波賀中島町８－１０,,福井市指令生衛第22-3-185号,9/28/22,8/31/29
200,飲食店営業,その他,ラウンジ業,Ｃａｒｎｅｔ　Ｌａ　Ｍｉｅｕｘ,910-0023,福井市順化２丁目１２－１９プラチナビル２０１号室,0776-25-1025,福井市指令生衛第21-3-158号,10/18/21,4/30/27
201,飲食店,社交飲食,,Ｃａｓａ,910-0006,福井市中央１丁目２１－３９ブラボビル２Ｆ,,福井市指令生衛第20-1-215号,9/9/20,11/30/25
202,飲食店営業,その他,喫茶洋食,Ｃａｖａ？　ヒトトナリ,910-0804,福井市高木中央２丁目２５０５,0776-37-3818,福井市指令生衛第21-4-439号,10/26/21,12/31/26
203,飲食店営業,その他,カフェ,ＣＢＤ　１　Ｃａｆｅ,918-8014,福井市花堂中２丁目２６－２６,0776-63-6648,福井市指令生衛第21-3-313号,4/26/22,10/31/27
204,飲食店営業,一般食堂・レストラン等,レストラン,changérer,910-3131,福井市白方町２－２２,0776-97-9871,福井市指令生衛第22-3-399号,4/11/23,7/31/28
205,菓子製造業,菓子製造業,,changérer,910-3131,福井市白方町２－２２,0776-97-9871,福井市指令生衛第23-3-399号,3/8/24,7/31/29
206,飲食店営業,その他,定食屋,Ｃｈａｎｏｍａ,910-0833,福井市新保１丁目１４０２,0776-53-0721,福井市指令生衛第23-4-318号,11/7/23,12/31/28
207,飲食店営業,その他,カフェ,ｃｈａｒｃｏａｌ,918-8182,福井市浅水二日町１３２－２,0776-89-1865,福井市指令生衛第24-3-70号,5/14/24,10/31/29
208,乳製品製造業,乳製品製造業,,Ｃｈｅｅ　Ｂｏ,918-8026,福井市渕４丁目１５３６,0776-34-2021,福井市指令生衛第21-4-749号,3/9/22,5/31/28
209,乳製品製造業,乳製品製造業,,ＣＨＥＥＳＥ　ＩＴＡＬＩＡ,910-0851,福井市米松１丁目５－３２,,福井市指令生衛第23-3-252号,11/10/23,7/31/29
210,飲食店営業,その他,喫茶店,Ｃｈｅｒ,910-0029,福井市日光２丁目１－８日光レジデンス１階,0776-23-3937,福井市指令生衛第24-4-350号,1/14/25,2/28/30
211,飲食店営業,その他,カラオケ,ＣＨＥＲＩＥ,910-0034,福井市菅谷２丁目１０－２２,,福井市指令生衛第24-3-32号,4/23/24,2/28/30
212,飲食店,社交飲食,,ｃｈｉｋａｂａ,910-0023,福井市順化１丁目２１－５エレガンテ片町２階　２０６号室,,福井市指令生衛第20-1-471号,3/19/21,3/31/26
213,飲食店営業,一般食堂・レストラン等,中華料理店,Ｃｈｉｎａ　ｃａｆｅ　ＦＵＮ,910-0016,福井市大宮４丁目１４－１８ストリート大宮ビル　１０５号,0776-50-3910,福井市指令生衛第21-3-251号,2/18/22,2/28/27
214,菓子製造業,パン,パン屋,ｃｈｏｐ　ｕｐ　ｃｒｕｓｔ,910-0855,福井市西方１丁目１－８,0776-28-6228,福井市指令生衛第21-3-66号,8/3/21,7/31/27
215,菓子製造業,パン,,ｃｈｏｐ　ｕｐ　ｃｒｕｓｔ,910-0855,福井市西方１丁目１－８,0776-28-6228,福井市指令生衛第22-3-303号,1/25/23,7/31/28
216,菓子製造業,菓子製造業,,ｃｈｏｕｃｈｏｕ,910-0804,福井市高木中央３丁目１００１１Ｆ,0776-52-5848,福井市指令生衛第23-4-254号,10/5/23,12/31/28
217,アイスクリーム類製造業,アイスクリーム類製造業,,ｃｈｏｕｃｈｏｕ,910-0804,福井市高木中央３丁目１００１１Ｆ,0776-52-5848,福井市指令生衛第23-3-222号,10/6/23,12/31/28
218,飲食店営業,その他,軽食店,Ｃｉｅｌｏ,918-8203,福井市上北野１丁目２５－１,0776-52-0707,福井市指令生衛第22-4-61号,6/8/22,7/31/27
219,飲食店,社交飲食,,Ｃｉｎｅｍａ　Ｂａｒ　ＴＨＥ　ＹＯＳＨＩＲＯ,910-0023,福井市順化１丁目１４－１３亜米利館ビル３階３０２号室,,福井市指令生衛第19-1-371号,12/2/19,3/31/25
220,飲食店営業,その他,Ｂａｒ,ｃｉｒｃｕｓ,910-0023,福井市順化２丁目１５－１９セイコービル　４階　４０３号,,福井市指令生衛第23-3-253号,11/9/23,4/30/29
221,菓子製造業,菓子製造業,,ＣＬＯＣＨＥＴＴＥ 　ＢＡＫＥ,918-8052,福井市明里町１０－２６グランドシティ足羽１階ｔｅｎａｎｔＣ,,福井市指令生衛第23-3-304号,4/25/24,10/31/30
222,飲食店営業,その他,ラウンジ,Ｃｌｕｂ　ａｖａｎｔ,910-0023,福井市順化１丁目１７－９ビッグラウンドビル４Ｆ,,福井市指令生衛第22-3-62号,7/13/22,3/31/28
223,飲食店営業,その他,スナック,ｃｌｕｂ　ｂｉｓｓｅｒ,910-0023,福井市順化２丁目１２－１３天谷ビル２Ｆ,0776-27-0068,福井市指令生衛第21-4-722号,2/22/22,4/30/27
224,飲食店,社交飲食,,ＣＬＵＢ　ＢＴＥＲＡＣＥ,910-0023,福井市順化１丁目１８－７Ａｙｕビル1Ｆ,0776-97-5562,福井市指令生衛第19-1-276号,10/16/19,3/31/25
225,飲食店営業,その他,キャバクラ,Ｃｌｕｂ　Ｄｉｏｓ,910-0023,福井市順化２丁目１３－１４ＣＯＰＡビル　５階ＴＹＰＥ－Ｆ,,福井市指令生衛第22-3-63号,6/3/22,4/30/28
226,飲食店営業,その他,キャバクラ,Ｃｌｕｂ　Ｆｉｒｓｔ,910-0023,福井市順化２丁目１３－１４ＣＯＰＡビル　２階　Ａ号室,,福井市指令生衛第22-3-348号,3/2/23,4/30/28
227,飲食店営業,その他,クラブ,Ｃｌｕｂ　ｆｌｏｗｅｒ,910-0005,福井市大手２丁目６－１大手ビル２階,0776-23-1653,福井市指令生衛第24-4-187号,11/1/24,11/30/29
228,飲食店営業,その他,ラウンジ,ＣＬＵＢ　Ｋａｉ,910-0023,福井市順化２丁目１３－１４ＣＯＰＡビル　Ｂ１階　ＴＹＰＥ－Ｄ,0776-25-1202,福井市指令生衛第21-4-813号,4/8/22,4/30/27
229,飲食店,社交飲食,,ＣＬＵＢ　ＮＡＧＩＳＡ,910-0023,福井市順化２丁目２０－１３友邦ビル４階　４０１号室,,福井市指令生衛第21-1-33号,5/10/21,4/30/27
